raw_payer	primaryPayerType	mapped_payer
UNITED HEALTHCARE (NC)	OTHER	UNITED HEALTHCARE (NC)
UNITED HEALTHCARE (PA)	COMMERCIAL	UNITED HEALTHCARE (PA)
UNITED HEALTHCARE (PA)	OTHER	UNITED HEALTHCARE (PA)
HEALTHTRANS	COMMERCIAL	Other
ICUBA	PBM	Other
UPMC FOR YOU	MEDICAID	UPMC HEALTH SYSTEM
UPMC FOR YOU	COMMERCIAL	UPMC HEALTH SYSTEM
BLUE CROSS BLUE SHIELD NORTHEASTERN PENNSYLVANIA	COMMERCIAL	BCBS HIGHMARK (PA) 
BLUE CROSS BLUE SHIELD NORTHEASTERN PENNSYLVANIA	OTHER	BCBS HIGHMARK (PA) 
"JAI MEDICAL SYSTEMS, INC. (MD)"	COMMERCIAL	Other
MAXCARE	COMMERCIAL	Other
MCAIDADV	OTHER	Other
MCKESSON PRO RELAYHEALTH	COMMERCIAL	Other
MEDPRIME	COMMERCIAL	Other
TRUE SCRIPTS	PBM	TRUE RX SAVINGS
TRUE SCRIPTS	OTHER	TRUE RX SAVINGS
MEDTRAK	COMMERCIAL	Other
OHIO DEPT OF JOB AND FAMILY SERVICE	MEDICAID	Other
AETA	COMMERCIAL	AETNA
AETN RX	OTHER	AETNA
AETNA (COVENTRY)	OTHER	AETNA
AETNA *RX ONLY*	OTHER	AETNA
AETNA AETCRXC	OTHER	AETNA
AETNA HMO	COMMERCIAL	AETNA
AETNA MEDICARE RX PLUS	MEDICARE	AETNA
AETNA MEDICARE RX SAVER	OTHER	AETNA
AETNA PHARMACY MANAGEMENT	OTHER	AETNA
AETNA RX	OTHER	AETNA
AETNA SPECIALTY PHARMACY	OTHER	AETNA
AETNA-CORESOURCE	COMMERCIAL	AETNA
AETNA-D	OTHER	AETNA
ATENA	COMMERCIAL	AETNA
AETNA (CA)	COMMERCIAL	Aetna (CA)
AETNA BETTER HEALTH OF KY-CAREMARK	MEDICAID	Aetna (KY)
AETNA (MO)	COMMERCIAL	Aetna (MO)
AETNA BETTER HEALTH - NEW JERSEY	COMMERCIAL	Aetna (NJ)
AETNA (NV)	COMMERCIAL	Aetna (NV)
AETNA PA	COMMERCIAL	Aetna (PA)
PA AETNA	COMMERCIAL	Aetna (PA)
AETNA (SC)	COMMERCIAL	Aetna (SC)
AETNA (UT)	COMMERCIAL	Aetna (UT)
AETNA (WA)	COMMERCIAL	Aetna (WA)
AETNA (WI)	COMMERCIAL	Aetna (WI)
"ALLIED BENEFIT SYSTEMS, INC"	MEDICAID	ALLIED BENEFIT SYSTEMS (IL)
AMERIBEN	COMMERCIAL	AMERIBEN/ IEC GROUP
AMERIGROUP COMMUNITY CARE	MEDICAID	AMERIGROUP CORP/AMERICAID
AMERIGROUP CORPORATION	OTHER	AMERIGROUP CORP/AMERICAID
AMERIGROUP IOWA - EXPRESS	MEDICAID	AMERIGROUP CORP/AMERICAID
AMERIGROUP WASHINGTON DC-EXPRESS	MEDICAID	AMERIGROUP CORP/AMERICAID
AMERIHEALTH ADMNISTRATORS	COMMERCIAL	AMERIHEALTH CARITAS FAMILY OF COMPANIES
AMERIHEALTH HMO	COMMERCIAL	AMERIHEALTH CARITAS FAMILY OF COMPANIES
AMERIHEALTH VIP CARE PLANS	COMMERCIAL	AMERIHEALTH CARITAS FAMILY OF COMPANIES
AMERTIHEALTH ADMIN	COMMERCIAL	AMERIHEALTH CARITAS FAMILY OF COMPANIES
PERFOM RX	PBM	AMERIHEALTH CARITAS FAMILY OF COMPANIES
PERFORM RX - ARGUS	PBM	AMERIHEALTH CARITAS FAMILY OF COMPANIES
ANTHEM BLUE CROSS	COMMERCIAL	Anthem
ANTHEM MED D	MEDICARE	Anthem
ANTHEM/WELLPOINT NEXTRX	PBM	Anthem
WELLPOINT - EXPRESS	MEDICARE	ANTHEM
"WELLPOINT INC. (ANTHEM, INC.)"	OTHER	ANTHEM
WELLPOINT PHARMACY-EXPRESS SCRIPTS	PBM	ANTHEM
ANTHEM BCBS OF CO	COMMERCIAL	Anthem (CO)
ANTHEM BCBS OF COLORADO - BLUECARD	COMMERCIAL	Anthem (CO)
ANTHEM BCBS OF CT (BLUECARD)	COMMERCIAL	Anthem(CT)
ANTHEM BCBS OF INDIANA	COMMERCIAL	Anthem(IA)
ANTHEM(MD)	COMMERCIAL	Anthem(MD)
ANTHEM BCBS OF MISSOURI	COMMERCIAL	Anthem(MO)
ANTHEM BCBS OF MO	OTHER	Anthem(MO)
ANTHEM(NH)	COMMERCIAL	Anthem(NH)
EMPIRE BCBS OF NY	COMMERCIAL	Anthem(NY)
EMPIRE NYSHIP	COMMERCIAL	Anthem(NY)
ANTHEM BCBS OF OHIO - BLUE CARD	COMMERCIAL	Anthem(OH)
ANTHEM(PA)	COMMERCIAL	Anthem(PA)
ANTHEM (VA)	OTHER	Anthem(VA)
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA PPO	COMMERCIAL	Anthem(VA)
DST PHARMACY SOLUTIONS FKA ARGUS	PBM	ARGUS
AVMED	COMMERCIAL	AVMED HEALTH PLANS (FL)
BAPTIST HEALTH PLAN	COMMERCIAL	Baptist Health Plan (KY)
BCBS AL *RX ONLY*	OTHER	BCBS ALABAMA (AL)
BC OF ARIZONA	OTHER	BCBS ARIZONA (AZ)
BCBS AR	COMMERCIAL	BCBS ARIZONA (AZ)
BCBS OF ARIZONA (PBM)	PBM	BCBS ARIZONA (AZ)
BCBS -ARKANSAS	COMMERCIAL	BCBS ARKANSAS (AR)
BCBS CAREFIRST (DE)	COMMERCIAL	BCBS CAREFIRST (DE)
BCBS MARYLAND	COMMERCIAL	BCBS CAREFIRST (MD)
BCBS MD	COMMERCIAL	BCBS CAREFIRST (MD)
CAREFIRST BCBS MARYLAND-BLUE CARD	COMMERCIAL	BCBS CAREFIRST (MD)
CAREFIRST BCBS MD-BLUE CARD	COMMERCIAL	BCBS CAREFIRST (MD)
CAREFIRST BCBS OF MARYLAND	OTHER	BCBS CAREFIRST (MD)
CAREFIRST OF MD	COMMERCIAL	BCBS CAREFIRST (MD)
BCBS OF NEW YORK (EMPIRE)	COMMERCIAL	BCBS EXCELLUS (NY)
BCBS OF NY	COMMERCIAL	BCBS EXCELLUS (NY)
EXCELLUS - BCBS ROCHESTER	COMMERCIAL	BCBS EXCELLUS (NY)
EXCELLUS BLUE OPTION	MEDICAID	BCBS EXCELLUS (NY)
EXCELLUS TECHNIPLEX	MEDICAID	BCBS EXCELLUS (NY)
BCBS FLORIDA - PRIME THERAPEUTICS	MEDICARE	BCBS FLORIDA (FL)
BCBS OF FLORIDA-PRIME THERAPUETICS	PBM	BCBS FLORIDA (FL)
BLUE CROSS OF FL	OTHER	BCBS FLORIDA (FL)
BC/BS OF ILLINOIS BLUE MEDICAR	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (IL)
BC/BS OF ILLINOIS BLUE MEDICAR	OTHER	BCBS HEALTHCARE SERVICE CORP (IL)
BCBS COMMUNITY (IL)	OTHER	BCBS HEALTHCARE SERVICE CORP (IL)
BCBS OF IL	OTHER	BCBS HEALTHCARE SERVICE CORP (IL)
BCBS OF IL PPO (IL)	OTHER	BCBS HEALTHCARE SERVICE CORP (IL)
BCBS OF ILLINOIS	OTHER	BCBS HEALTHCARE SERVICE CORP (IL)
BCBS IN	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (IN)
BCBS HEALTHCARE SERVICE CORP (NM)	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (NM)
BCBS OF OKLAHOMA PBM (PRIME)	PBM	BCBS HEALTHCARE SERVICE CORP (OK)
BLUE CHOICE PPO (OK)	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (OK)
BCBS OF TEXAS - BC DRG ONLY	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (TX)
HIGHMARK BCBS OF DE	COMMERCIAL	BCBS HIGHMARK (DE)
HIGHMARK OF DE	COMMERCIAL	BCBS HIGHMARK (DE)
BC/BS PA	COMMERCIAL	BCBS HIGHMARK (PA) 
HIGHMARK BCBS PA PD/PRNV	COMMERCIAL	BCBS HIGHMARK (PA) 
BCBS NJ	COMMERCIAL	BCBS HORIZON (NJ)
BCBS OF NJ	COMMERCIAL	BCBS HORIZON (NJ)
HORIZON BCBS NJ DRG ONLY	COMMERCIAL	BCBS HORIZON (NJ)
HORIZON BLUE CROSS BLUE SHIELD OF NJ-MEDICARE D	COMMERCIAL	BCBS HORIZON (NJ)
HORIZON BLUE CROSS OF NJ	COMMERCIAL	BCBS HORIZON (NJ)
HORIZON NJ DIRECT	COMMERCIAL	BCBS HORIZON (NJ)
HORIZON OF NJ	COMMERCIAL	BCBS HORIZON (NJ)
BCBS OF KANSAS	COMMERCIAL	BCBS KANSAS (KS)
BCBS MISSOURI	COMMERCIAL	BCBS KANSAS CITY (MO)
BCBS LA-BLUECARD-EPFC ONLY	COMMERCIAL	BCBS LOUISIANA (LA)
BCN HMO (MI)	COMMERCIAL	BCBS MICHIGAN (MI)
BCBS OF MINNESOTA (PRIME)	PBM	BCBS MINNESOTA (MN)
BCBS MS	COMMERCIAL	BCBS MISSISSIPPI (MS)
BCBS OF MS	COMMERCIAL	BCBS MISSISSIPPI (MS)
BCBS MT - HEALTH CARE SERVICE CORP	COMMERCIAL	BCBS MONTANA (MT)
BCBS NEBRASKA (NE)	OTHER	BCBS NEBRASKA (NE)
BCBS OF NEBRASKA	OTHER	BCBS NEBRASKA (NE)
BCBS SC	COMMERCIAL	BCBS SOUTH CAROLINA (SC)
BCBS OF TN	COMMERCIAL	BCBS TENNESSEE (TN)
BCBS WELLMARK (IA)	COMMERCIAL	BCBS WELLMARK (IA)
BCBS WYOMING (WY)	COMMERCIAL	BCBS WYOMING (WY)
REGENCE BCBS OF OR	OTHER	BCBS/THE REGENCE GROUP (OR)
REGENCE BLUE CROSS OREGON	COMMERCIAL	BCBS/THE REGENCE GROUP (OR)
ANTHEM BC OF CA	MEDICAID	BLUE CROSS AND BLUE SHIELD
ANTHEM BC/BS	PBM	BLUE CROSS AND BLUE SHIELD
B/C B/S	COMMERCIAL	BLUE CROSS AND BLUE SHIELD
BC BS	OTHER	BLUE CROSS AND BLUE SHIELD
BCBC	COMMERCIAL	BLUE CROSS AND BLUE SHIELD
BCBS  EMPIRE	COMMERCIAL	BLUE CROSS AND BLUE SHIELD
BCBS CAREMARK	OTHER	BLUE CROSS AND BLUE SHIELD
BCBS EMPIRE	COMMERCIAL	BLUE CROSS AND BLUE SHIELD
BCBS FEP	COMMERCIAL	FEDERAL EMPLOYEES/ FEHB
BLUE CROSS BLUE SHEILD	COMMERCIAL	BLUE CROSS AND BLUE SHIELD
BCBS OF GEORGIA BLUE CARD DRG ONLY	COMMERCIAL	BLUE CROSS BLUE SHIELD OF GEORGIA
BCBS OF GEORGIA-BLUE CARD	COMMERCIAL	BLUE CROSS BLUE SHIELD OF GEORGIA
AMERIHEALTH ADMINISTRATORS	COMMERCIAL	BLUE CROSS INDEPENDENCE/IBC
INDEPENDENCE	COMMERCIAL	BLUE CROSS INDEPENDENCE/IBC
INDEPENDENCE ADMIN	COMMERCIAL	BLUE CROSS INDEPENDENCE/IBC
INDEPENDENCE BCBS	OTHER	BLUE CROSS INDEPENDENCE/IBC
INDEPENDENCE BLUE CROSS BLUE SHIELD	COMMERCIAL	BLUE CROSS INDEPENDENCE/IBC
BLUE CROSS INDEPENDENCE/IBC (DE)	COMMERCIAL	BLUE CROSS INDEPENDENCE/IBC (DE)
BLUE CROSS OF DE	OTHER	BLUE CROSS INDEPENDENCE/IBC (DE)
INDEPENDENCE BC/BS OF PA	COMMERCIAL	BLUE CROSS INDEPENDENCE/IBC (PA)
BCBS OF MASSACHUSETTS - BLUE CARD	COMMERCIAL	BLUE CROSS MASSACHUSETTS (MA)
BCBS OF MASSACHUSETTS - EXPRESS SCR	COMMERCIAL	BLUE CROSS MASSACHUSETTS (MA)
BCBS OF MASSACHUSETTS-BLUE CARD	COMMERCIAL	BLUE CROSS MASSACHUSETTS (MA)
BCBC OF CALIFORNIA	COMMERCIAL	BLUE SHIELD OF CALIFORNIA (CA)
BCBS CA	COMMERCIAL	BLUE SHIELD OF CALIFORNIA (CA)
BCBS CALIFORNIA	COMMERCIAL	BLUE SHIELD OF CALIFORNIA (CA)
BLUE CROSS BLUE SHIELD OF CA	COMMERCIAL	BLUE SHIELD OF CALIFORNIA (CA)
BLUE SHIELD OF CALIFORNIA	OTHER	BLUE SHIELD OF CALIFORNIA (CA)
BOSTON MED CTR HLTHNET- NMHCRX	MEDICAID	"BOSTON MEDICAL CENTER HEALTH PLAN, INC."
CARE1ST HEALTH PLAN	MEDICAID	Care1st Health Plan
CAREFIRST BC/BS	OTHER	"CAREFIRST, INC."
CAREFIRST BLUE CHOICE	COMMERCIAL	"CAREFIRST, INC."
CATALYST RX (FKA PHARMACY NETWORK)	PBM	Catalyst(Unspecified)
CATAMARAN COMMERCIAL NO P	OTHER	Catamaran
CATAMARAN MEDICARE D	MEDICARE	Catamaran
AM BETTER	MEDICAID	CENTENE
AMBETTER BCBS	COMMERCIAL	CENTENE
AMBETTER FROM NH HEALTHY FAMILIES	MEDICAID	CENTENE
AMBETTER SUPERIOR HEALTH PLAN	COMMERCIAL	CENTENE
ILLINICARE	OTHER	Centene(IL)
ILLINICARE HEALTH	OTHER	Centene(IL)
CENTENE(KS)	COMMERCIAL	Centene(KS)
CIGNA CENTERCARE	OTHER	CIGNA
CIGNAHB	PBM	CIGNA
CIGNA (AR)	COMMERCIAL	CIGNA (AR)
COMMUNITY HEALTH CHOICE (TX)	COMMERCIAL	COMMUNITY HEALTH CHOICE (TX)
CAREMAR	CASH	CVS CAREMARK
CAREMARK CVS	OTHER	CVS CAREMARK
CAREMARK MVP	OTHER	CVS CAREMARK
CAREMARK SUPER CARRIER	COMMERCIAL	CVS CAREMARK
CARMARK	OTHER	CVS CAREMARK
CVAREMARK	OTHER	CVS Caremark
CVS/ CAREMARK	OTHER	CVS Caremark
CVS/CVAREMARK	OTHER	CVS Caremark
HIP	OTHER	EMBLEMHEALTH
HIP NEW YORK	MEDICAID	EMBLEMHEALTH/HIP/GHI (NY)
ENVISION RX PLUS	OTHER	ENVISIONRX OPTIONS
ENVISION/LAKER	PBM	ENVISIONRX OPTIONS
ENVISIONRXOPTIONS	COMMERCIAL	ENVISIONRX OPTIONS
ESPRESS SCRIPTS	OTHER	ESI
EXP	OTHER	ESI
EXPESS SCRIPTS	OTHER	ESI
EXPRESS	COMMERCIAL	ESI
EXPRESS SCRIPS	OTHER	ESI
EXPRESS SCRIPTS (ESI)	OTHER	ESI
EXPRESS SCRIPTS MEDICARE PART D	MEDICAID	ESI
EXPRESS SCRPTS	OTHER	ESI
EXPRESS-SCRIPTS	OTHER	ESI
MEDCO EXPRESS SCRIPTS	OTHER	ESI
MEDCO MED D	MEDICARE	ESI
MEDCO MEDICARE PDP	OTHER	ESI
MEDCO RX	OTHER	ESI
MEDCO SECONDARY TO NON PART D	OTHER	ESI
MEDCO/EXPRESS SCRIPTS	OTHER	ESI
MEDCOHEALTH	OTHER	ESI
FEDERAL EMPLOYEE	OTHER	FEDERAL EMPLOYEES/ FEHB
FEDERAL EMPLOYEES/ FEHB	COMMERCIAL	FEDERAL EMPLOYEES/ FEHB
FIDELIS CARE MEDICARE	MEDICAID	FIDELIS CARE NEW YORK (NY) 
FIDELIS CARE NEW YORK	PBM	FIDELIS CARE NEW YORK (NY) 
GATEWAY CITZENS RX	OTHER	GATEWAY HEALTH PLAN
GATEWAY HEALTH	COMMERCIAL	GATEWAY HEALTH PLAN
GATEWAY HEALTH MEDICAID	OTHER	GATEWAY HEALTH PLAN
GATEWAY HEALTH PLAN MEDICARE D	OTHER	GATEWAY HEALTH PLAN
GEISINGER	MEDICAID	GEISINGER HEALTH SYSTEM CORPORATION
GEISINGER GHP FAMILY	MEDICAID	GEISINGER HEALTH SYSTEM CORPORATION
GEISINGER GOLD	PBM	GEISINGER HEALTH SYSTEM CORPORATION
GEISINGER MARKETPLACE	MEDICAID	GEISINGER HEALTH SYSTEM CORPORATION
GROUP HEALTH COOPERATIVE (WI)	MEDICAID	GROUP HEALTH COOPERATIVE OF SOUTH CENTRAL WISCONSIN
ALLIANT	OTHER	HAMILTON HEALTHCARE SYSTEMS (GA)
ALLIANT HEALTH PLANS	OTHER	HAMILTON HEALTHCARE SYSTEMS (GA)
HARVARD PILGRIM HEALTH	COMMERCIAL	"HARVARD PILGRIM HEALTHCARE, INC."
HAP	COMMERCIAL	HEALTH ALLIANCE MEDICAL PLAN HAP (HENRY FORD HEALTH CARE CORP)
HEALTH PARTNER-1	OTHER	HEALTH PARTNERS PLANS
HEALTH PARTNERS OF PA (ARGUS)	MEDICAID	HEALTH PARTNERS PLANS (PA)
HEALTHFIRST	MEDICAID	Healthfirst
HEALTHSPRING	MEDICARE	HEALTHSPRING
HORIZON BLUE CROSS BLUE SHIELD QHP	COMMERCIAL	"HORIZON HEALTHCARE SERVICES, INC."
HORIZON HEALTHCARE DRUG ONLY	COMMERCIAL	"HORIZON HEALTHCARE SERVICES, INC."
"HORIZON HEALTHCARE SERVICES, INC."	MEDICAID	"Horizon Healthcare Services, Inc."
HORIZON HMO	COMMERCIAL	"HORIZON HEALTHCARE SERVICES, INC."
HORIZON MEDICAID	COMMERCIAL	"HORIZON HEALTHCARE SERVICES, INC."
HORIZON MEDICARE D	MEDICAID	"HORIZON HEALTHCARE SERVICES, INC."
HUMANA CARESOURCE-KENTUCKY	COMMERCIAL	HUMANA
HUMANA INC (ARGUS)	PBM	HUMANA
HUMANA OSCAR	COMMERCIAL	HUMANA
HUMANA (GA)	COMMERCIAL	HUMANA (GA)
INDEPENDENT CARE HEALTH PLAN	COMMERCIAL	Independent Care Health Plan
INDEPENDENT ADMINISTRATORS	COMMERCIAL	INDEPENDENT HEALTH ASSN. (NY)
INDEPENDENT HEALTH ASSOCIATION	PBM	INDEPENDENT HEALTH ASSN. (NY)
AMERI-HEALTH MERCY	GOVERNMENT	KEYSTONE/AMERIHEALTH MERCY
KEYSTONE/AMERIHEALTH MERCY (SC)	MEDICAID	KEYSTONE/AMERIHEALTH MERCY (SC)
KROGER RX PLAN	PBM	KROGER RX PLNS UNSPEC
MAGELLAN PHARMACY SOL - FIRST HLTH	MEDICAID	MAGELLAN
MAGELLAN RX - MEDICARE D	MEDICARE	MAGELLAN
MAGELLAN RX MEDICARE D	OTHER	MAGELLAN
MAGELLANRX	OTHER	MAGELLAN
MCLAREN HEALTH PLAN (MI)	MEDICAID	MCLAREN HEALTH PLAN (MI)
ALASKA MEDICAID PROGRAM	MEDICAID	MEDICAID (AK)
CALIFORNIA MEDICAID	MEDICAID	MEDICAID (CA)
STATE OF CONNECTICUT	COMMERCIAL	MEDICAID (CT)
DE MEDICAID	COMMERCIAL	MEDICAID (DE)
MEDICAID (FL)	MEDICAID	MEDICAID (FL)
GEORGIA MEDICAID	MEDICAID	MEDICAID (GA)
MEDICAID IL	OTHER	MEDICAID (IL)
MEDICAID (IN)	OTHER	MEDICAID (IN)
KENTUCKY MEDICAID	MEDICAID	MEDICAID (KY)
LA MEDICAID	OTHER	MEDICAID (LA)
MEDICAID (LA)	OTHER	MEDICAID (LA)
MD MEDICAID	MEDICAID	MEDICAID (MD)
MEDICAID (NC)	COMMERCIAL	MEDICAID (NC)
NORTH CAROLINA MEDICAID	MEDICAID	MEDICAID (NC)
NEBRASKA MEDICAID	MEDICAID	MEDICAID (NE)
NEW JERSEY MEDICAID	MEDICAID	MEDICAID (NJ)
PAAD-NEW JERSEY MEDICAID	MEDICAID	MEDICAID (NJ)
MEDICAID (NV)	COMMERCIAL	MEDICAID (NV)
MEDICAID (OK)	COMMERCIAL	MEDICAID (OK)
OREGON MEDICAID	MEDICAID	MEDICAID (OR)
SOUTH CAROLINA MEDICAID-MAGELLAN	MEDICAID	MEDICAID (SC)
MEDICAID TENNESSEE - TENNCARE	MEDICAID	MEDICAID (TN)
MEDICAID TENNESSEE (TN)	MEDICAID	MEDICAID (TN)
TENN CARE	OTHER	MEDICAID (TN)
TENNMCHB	MEDICAID	MEDICAID (TN)
VT MEDICAID-NEW PROCESSOR	MEDICAID	MEDICAID (VT)
WYOMING MEDICAID	MEDICAID	MEDICAID (WY)
MERIDAINRX	OTHER	MERIDIAN HEALTH PLAN
MERIDIAN HEALTH	OTHER	MERIDIAN HEALTH PLAN
MERIDIN`	OTHER	MERIDIAN HEALTH PLAN
MERIDIAN HEALTH PLAN (IL)	MEDICAID	Meridian Health Plan (IL)
MOLINA HEALTH CARE	MEDICAID	MOLINA HEALTHCARE INC
MOLINA HEALTHCARE	MEDICAID	MOLINA HEALTHCARE INC
MOLINA HEALTHCARE - CAREMARK	MEDICAID	MOLINA HEALTHCARE INC
MOLINA HEALTHCARE OF NM - CAREMARK	MEDICAID	MOLINA HEALTHCARE INC (NM)
MOLINA HEALTHCARE OF NY-CAREMARK	MEDICAID	MOLINA HEALTHCARE INC (NY)
NEIGHBORHOOD HEALTH PARTNERSHIP	COMMERCIAL	NEIGHBORHOOD HEALTH PLAN
NEIGHBORHOOD HLTH PLN  CAREMARK	MEDICAID	NEIGHBORHOOD HEALTH PLAN
NEIGHBORHOOD HEALTH OF RHODE ISLAND - MEDICARE D	MEDICARE	NEIGHBORHOOD HEALTH PLAN OF RI (RI)
NEXT LEVEL HEALTH (IL)	COMMERCIAL	NEXT LEVEL HEALTH (IL)
"OPTIMUM HEALTHCARE, INC."	MEDICAID	"Optimum HealthCare, Inc."
INFORMED RX - FRMRLY NMHC - SXC	PBM	OPTUMRX
OPTIUMRX	OTHER	OPTUMRX
OPTUM  RX	OTHER	OPTUMRX
OPTUM HEALTH	COMMERCIAL	OPTUMRX
OPTUM RX-UNITED	OTHER	OPTUMRX
OPTUMRX ARIZONA MANAGE MCAID	OTHER	OPTUMRX
OPTUMRX FUTURESCRIPT	OTHER	OPTUMRX
OPTUNRX	OTHER	OPTUMRX
OPUS COUPON PROGRAM	OTHER	OPUS HLTH INFO SYS UNSPEC
OPUS MEDICAL	OTHER	OPUS HLTH INFO SYS UNSPEC
BEACON HEALTH OPTIONS	COMMERCIAL	Other
CENTURA HEALTH	OTHER	Other
COFINITY	OTHER	Other
MULTIPLAN	OTHER	Other
PREMERA	OTHER	Premera
PRIME T	OTHER	PRIME THERAPEUTICS
PRIME THERAPEUTICS (BCBS FLORIDA)	PBM	PRIME THERAPEUTICS
PRIME THERAPEUTICS RX NETWORK	PBM	PRIME THERAPEUTICS
PRIME THERPEUTICS	OTHER	PRIME THERAPEUTICS
REGENCE BLUE CROSS BLUE SHIELD PPO	COMMERCIAL	REGENCE
REGENCE BLUEPOINT	OTHER	REGENCE
REGENCE GROUP	OTHER	REGENCE
SAV RX-NDC	PBM	SAV-RX
SAVERX	OTHER	SAV-RX
SAVE-RX	OTHER	SAV-RX
SAV-RX	OTHER	SAV-RX
SCOTT AND WHITE (TX)	COMMERCIAL	SCOTT AND WHITE (TX)
SELECT HEALTH	OTHER	SELECT HEALTH
SOUTHWEST CATHOLIC HLTH NTWRK (AZ)	MEDICAID	SOUTHWEST CATHOLIC HLTH NTWRK (AZ)
TOTAL CARE (NY)	MEDICAID	TOTAL CARE (NY)
TRICA	GOVERNMENT	TRICARE
TRICARE  NORTH	COMMERCIAL	TRICARE
TRICARE (US)	GOVERNMENT	TRICARE
TRICARE (US)	OTHER	TRICARE
TRICARE EAST REGION	OTHER	TRICARE
TRICARE HEALTH NET FEDERAL	COMMERCIAL	TRICARE
TRICARE NORTH REGION	COMMERCIAL	TRICARE
TRICARE SOUTH - HUMANA	GOVERNMENT	TRICARE
UHC COMMUNITY PLAN- PRES SOL	MEDICAID	UNITED HEALTHCARE
UHC-777-10	COMMERCIAL	UNITED HEALTHCARE
UNITED HEALTH CARE MEDICARE	MEDICAID	UNITED HEALTHCARE
UNITED HEALTH CARE OXFORD	COMMERCIAL	UNITED HEALTHCARE
UNITED HEALTH PLAN	MEDICAID	UNITED HEALTHCARE
UNITED HEALTHCARE COMM PLAN	OTHER	UNITED HEALTHCARE
UNITEDHEALTH	OTHER	UNITED HEALTHCARE
UNITED HEALTHCARE (AZ)	OTHER	UNITED HEALTHCARE (AZ)
UNITED HEALTHCARE (CA)	COMMERCIAL	UNITED HEALTHCARE (CA)
UNITED HEALTHCARE (NY)	OTHER	UNITED HEALTHCARE (NY)
UNITED HEALTHCARE COMMUNITY AND STATE OF TN	OTHER	UNITED HEALTHCARE (TN) 
UNITED HEALTHCARE COMMUNITY	OTHER	UNITED HEALTHCARE (US)
UNITED MEDICAL RESOURCES	MEDICAID	UNITED HEALTHCARE (US)
UNITY HEALTH PLANS (WI)	COMMERCIAL	Unity Health Plans (WI)
UMPC	COMMERCIAL	UNIV PITTSBURGH HEALTH/UPMC
UNIVERSITY HEALTH ALLIANCE	COMMERCIAL	University Health Alliance
PA DPW	MEDICAID	Other
PARKLAND HLTH AND HOSPITAL SYS	OTHER	Other
PASSPORT HEALTH PLN - CAREMARK	MEDICAID	Other
PENDING	CASH	Other
PHARM MED QUEST	OTHER	Other
PHRMEDQUEST	COMMERCIAL	Other
RX SOLUTIONS	OTHER	PBM
SOLOCARE	OTHER	Other
UFCW & PFIE HEALTH AND WELFARE	COMMERCIAL	Other
UNKNOWN	COMMERCIAL	Other
UNKNOWN	MEDICAID	Other
WHI	PBM	Other
\	OTHER	Other
ALLIES TRADES	COMMERCIAL	Other
WALGREENS HEALTH INITIATIVE	COMMERCIAL	WALGREENS
WALGREENS HLTH INITIATV-CATALYST RX	PBM	WALGREENS
WALMART	OTHER	WALMART
WEBTPA	COMMERCIAL	WEBTPA
WELLCARE	MEDICARE	WELLCARE HEALTH PLANS
WELLCARE MEDICARE	MEDICARE	WELLCARE HEALTH PLANS
WELLCARE OF GEORGIA-CAREMARK	MEDICAID	WELLCARE HEALTH PLANS (GA)
WELLCARE-KENTUCKY	MEDICAID	WELLCARE HEALTH PLANS (KY)
WELLCARE NJ	OTHER	WELLCARE HEALTH PLANS (NJ)
WELLCARE - NEW YORK	MEDICAID	WELLCARE HEALTH PLANS (NY)
4D	COMMERCIAL	4D PHARMACY MGMT SYS UNSPEC
4D PHARMACY MGMT SYSTEMS	OTHER	4D PHARMACY MGMT SYS UNSPEC
ADVANCE PCS	OTHER	CVS CAREMARK
ADVANCE/PCS/CVS/CAREMARK	COMMERCIAL	CVS CAREMARK
ADVANCE/PCS/CVS/CAREMARK	OTHER	CVS CAREMARK
ARIZONA FOUNDATION MEDICAL	COMMERCIAL	Other
AXIS INSURANCE CO.	COMMERCIAL	Other
ANTHEM BCBS- MO	COMMERCIAL	Anthem(MO)
CALIFORNIA STATE FUND	MEDICAID	Other
"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC"	MEDICAID	Other
BC/BS ILLINOIS	OTHER	BCBS HEALTHCARE SERVICE CORP (IL)
BC/BS OH	COMMERCIAL	BLUE CROSS AND BLUE SHIELD
BCBS FINGERLAKES	COMMERCIAL	BCBS EXCELLUS (NY)
BCBS NORTH DAKOTA	COMMERCIAL	BCBS NORTH DAKOTA (ND)
BCBS OF OHIO	OTHER	BLUE CROSS BLUE SHIELD  
BCBS OF OHIO ? ANTHEM	OTHER	BLUE CROSS BLUE SHIELD  
CAPITAL DISTRICT PHYSICIANS HEALTH PLANS	MEDICAID	Other
CARECENTRIX/GENTIVA NATIONAL CLAIMS CENTER	OTHER	Other
CAREMORE HEALTH PLAN	MEDICARE	Other
CHICAGO LABORERS WELFARE FUND	COMMERCIAL	Other
CHLTH	OTHER	Other
CHRISTUS HEALTH-OPTUM RX	PBM	Other
CLEARSCRIPT	OTHER	Other
